Event_name,Location,Depth,Magnitude
B062180B,-57.97 -10.66,10.0,6.0
B062280A,30.10 81.77,33.0,5.1
B062380A,-28.68 -176.73,33.0,5.2
B062380B,-39.88 175.71,63.0,5.3
B062380C,-28.78 -176.69,49.0,5.6
B062480A,32.82 88.45,33.0,5.2
B062580A,4.44 -75.78,162.0,5.7
B062580C,-6.59 146.84,21.0,5.7
C062580B,-5.23 151.69,49.0,6.2
B062980A,34.81 139.18,15.0,5.8
B063080A,-35.08 178.41,194.0,5.4
B070280A,-15.18 -173.61,33.0,5.7
B070380A,-40.30 176.62,22.0,5.3
B070380B,-15.14 -174.98,253.0,5.0
B070580B,51.47 -178.43,51.0,5.1
B070580A,41.85 77.46,28.0,5.4
B070580C,-31.47 -178.39,123.0,5.5
B070680A,-51.02 139.36,10.0,5.4
B070680B,56.56 -154.24,26.0,5.2
B070880A,6.63 125.79,178.0,5.9
D070880B,-12.41 166.38,33.0,5.9
B070980A,39.27 23.04,14.0,5.8
B070980B,-12.81 166.10,37.0,5.3
B070980D,-12.63 166.02,33.0,5.4
C070980C,-12.69 166.00,33.0,5.2
B071080A,39.31 22.92,10.0,5.2
B071180A,-57.84 -25.63,86.0,5.3
B071280B,-5.56 149.02,191.0,5.4
B071280C,-15.78 -175.09,261.0,5.3
B071280D,24.23 125.23,40.0,5.2
B071280A,36.83 93.78,24.0,5.4
B071380A,-33.47 -70.15,103.0,5.6
B071380B,-15.26 -173.52,33.0,5.4
B071480B,35.14 -35.45,10.0,5.2
B071480C,11.06 -85.52,96.0,4.8
D071480A,-29.27 -177.15,49.0,5.8
B071680B,37.29 141.82,29.0,5.4
D071680A,-4.46 143.52,84.0,6.5
B071780B,-12.51 166.33,46.0,5.3
B071780C,-23.60 179.03,564.0,5.0
Z071780A,-12.52 165.92,33.0,5.8
B071880A,-24.03 -176.10,33.0,5.6
C071980A,-29.00 -69.68,110.0,6.1
B072080A,-17.87 -178.63,591.0,6.0
B072180A,-6.25 154.44,50.0,5.4
B072180B,-12.50 166.46,79.0,5.7
B072180C,-12.29 166.51,80.0,5.9
B072280B,37.19 50.20,62.0,5.4
C072280A,-20.30 169.61,122.0,6.1
B072380A,-2.79 101.20,54.0,5.5
B072480A,-22.00 170.14,33.0,5.4
B072480B,-21.99 170.20,33.0,5.2
B072480C,0.86 -29.60,10.0,4.8
B072680A,7.10 -34.04,10.0,5.2
B072780A,-19.65 179.93,525.0,5.3
B072780B,38.17 -83.91,8.0,5.1
B072880A,-22.12 -175.73,65.0,5.4
D072980A,-13.10 166.34,48.0,5.9
B072980C,81.26 34.0,5.7,5.2
C072980B,29.60 81.09,18.0,6.1
B072980D,2.51 126.62,53.0,5.4
B073080A,-3.94 154.31,480.0,5.3
B073080B,5.28 -82.67,10.0,5.8
B073080C,-8.97 -108.34,10.0,5.4
B073180B,16.41 -97.11,47.0,5.1
B073180A,39.55 74.96,33.0,5.0
B080180A,12.69 -87.47,78.0,5.2
B080180B,37.56 -118.89,4.0,4.7
B080180C,59.62 -148.94,26.0,5.4
B080280A,14.52 -92.94,50.0,4.8
B080280B,52.11 -169.37,33.0,5.3
B080280C,-11.09 165.43,33.0,5.7
B080380A,-35.25 -69.99,151.0,5.3
B080380B,52.00 -169.28,33.0,4.8
B080380C,-35.58 -104.63,10.0,5.1
B080480A,16.26 -95.71,33.0,5.1
B080780A,63.52 -151.29,10.0,5.2
C080980A,15.89 -88.52,22.0,6.1
B081180A,39.27 22.66,17.0,5.1
B081280A,64.72 -17.25,10.0,5.2
B081380A,8.80 -39.87,10.0,5.1
B081480A,-56.01 -121.51,10.0,5.0
B081580A,6.81 -73.02,161.0,5.1
B081780A,-3.77 128.24,24.0,5.4
B081880A,-1.95 -80.02,55.0,5.6
B081980A,-55.80 147.32,10.0,5.3
C081980B,-3.58 140.04,33.0,5.8
C082180A,-41.32 80.51,10.0,5.6
B082180B,-2.03 68.06,10.0,5.3
B082380C,55.03 -160.40,38.0,5.3
B082380A,32.84 75.56,39.0,5.2
B082380B,32.82 75.60,46.0,5.2
C082480A,-15.22 -173.67,39.0,6.0
B082780A,15.87 94.70,29.0,5.5
B082980A,-39.66 -73.10,34.0,5.4
B083080A,29.60 -113.48,15.0,5.0
B083080B,-4.26 152.70,35.0,5.4
B083180A,-12.50 166.46,42.0,5.6
B083180B,-0.16 123.00,97.0,5.3
B090280A,15.91 -88.29,25.0,5.3
B090280B,13.62 -91.41,60.0,5.0
B090280C,-26.79 -112.92,10.0,5.0
B090380A,3.24 -78.19,33.0,5.7
B090580A,12.01 -59.34,33.0,4.9
B090780A,38.03 -118.58,15.0,4.9
B090780B,-57.89 -25.47,33.0,5.3
B090980A,33.99 138.94,33.0,5.3
B091080A,-12.13 166.29,62.0,5.5
B091080B,-18.61 176.11,29.0,5.5
B091280A,-3.04 129.13,33.0,5.2
B091380A,-4.11 127.46,239.0,5.6
B091580A,-61.39 -56.43,33.0,5.8
B091580B,-15.65 -173.74,68.0,5.3
B091680A,-56.29 -26.81,104.0,5.3
B091680B,-20.62 -178.78,599.0,5.3
B091780A,-15.28 -173.59,33.0,5.6
B091980A,13.89 120.73,148.0,5.7
B091980B,36.45 70.79,210.0,5.4
B092080A,17.31 73.58,33.0,5.3
B092080B,-5.13 102.41,28.0,5.5
B092080C,14.93 -93.12,58.0,5.1
B092080D,-6.43 148.14,64.0,5.6
B092180A,5.91 126.20,120.0,5.4
B092180B,29.69 -113.58,15.0,5.1
B092280A,-7.13 107.66,141.0,5.4
B092380A,35.95 139.63,89.0,5.4
B092480A,35.45 139.96,73.0,6.0
C092680B,-3.23 142.24,33.0,5.9
B092680A,-15.03 167.30,116.0,5.9
B092680C,-35.90 -102.94,10.0,4.9
B092780A,-55.61 -26.87,33.0,5.4
B092780B,18.48 -68.93,159.0,4.9
B092880A,-55.97 -27.57,96.0,5.6
B092880B,-6.31 154.81,68.0,6.0
B100280A,50.31 -130.04,10.0,5.3
B100280B,-20.97 -178.67,604.0,5.3
B100280C,19.94 122.42,33.0,5.5
B100380A,-20.21 -177.78,554.0,5.4
C100480A,-15.72 -179.36,33.0,5.5
B100580A,-39.54 176.48,32.0,5.6
B100580B,-11.38 117.57,33.0,5.7
B100780A,35.60 82.07,33.0,5.4
B100880A,0.00 123.28,152.0,5.5
C100880C,-5.37 103.12,33.0,5.8
B100880D,-4.86 -105.92,10.0,5.0
B100880B,-1.38 -77.69,190.0,5.5
B100980A,-19.27 169.74,33.0,5.4
B100980B,-15.38 -173.42,33.0,5.7
Z101080A,36.20 1.35,10.0,6.5
B101080B,36.22 1.61,10.0,6.2
B101280A,-61.31 154.05,10.0,4.7
B101380A,36.26 1.57,10.0,5.2
B101680A,-6.83 -11.59,10.0,5.3
B101880A,24.28 121.91,24.0,5.0
B101980A,-6.11 145.52,125.0,5.8
B101980B,32.76 48.57,42.0,5.3
B102080A,33.08 140.38,81.0,5.6
B102080B,-6.27 154.84,65.0,5.7
B102080C,-13.10 167.00,191.0,5.2
B102280A,-36.50 -98.61,10.0,4.9
B102380B,6.52 117.96,51.0,5.1
B102380A,-6.61 129.62,160.0,5.8
D102480A,-21.99 170.17,33.0,5.8
D102480B,18.21 -98.24,72.0,6.4
B102580A,-21.98 170.03,33.0,5.7
D102580B,-21.89 169.85,33.0,5.8
B102580C,-22.31 170.38,33.0,5.9
C102680A,11.75 125.50,48.0,6.0
B102680B,-22.07 169.46,33.0,5.6
B102680C,-22.15 169.46,33.0,5.5
B102680D,-22.28 170.17,33.0,5.3
B102780A,-0.15 -24.85,10.0,5.5
B102780B,-13.06 166.13,33.0,5.3
B102880A,-22.22 169.51,33.0,5.5
B102880B,-30.46 -177.94,33.0,5.6
B102880C,7.24 -74.82,72.0,5.1
B102980A,-22.64 169.66,33.0,5.4
C102980B,-21.49 169.47,33.0,5.5
B103080A,-22.24 169.55,33.0,5.8
B103080B,-21.41 169.15,33.0,5.2
B110180A,14.37 145.77,103.0,5.6
B110180B,0.11 -25.35,10.0,5.2
B110180C,-3.21 -12.67,10.0,5.2
B110180D,3.70 124.59,322.0,5.0
B110180E,18.95 -107.63,33.0,5.5
B110480A,13.86 -90.93,83.0,5.4
B110480B,53.82 160.74,33.0,5.9
B110580A,-2.70 122.06,46.0,5.6
B110680A,86.14 14.0,5.6,5.4
B110780A,24.07 122.32,33.0,5.4
B110880B,36.11 1.36,10.0,5.3
Z110880A,41.12 -124.25,19.0,6.2
B110880C,-24.34 -67.65,103.0,5.4
B111080A,-31.58 -67.47,21.0,5.7
Z111180A,-51.42 28.80,10.0,6.2
B111380A,55.64 161.41,33.0,5.4
B111580A,3.45 126.71,44.0,5.6
B111780A,27.36 56.08,33.0,5.1
B111880A,-21.75 -175.07,33.0,5.3
C111980A,27.39 88.75,17.0,6.0
B112080A,-4.49 -38.27,10.0,5.1
B112080B,22.72 93.90,33.0,5.3
B112080C,-6.06 149.29,38.0,5.5
B112180A,51.80 -176.14,53.0,5.6
B112280A,-3.67 140.04,77.0,5.5
Z112380A,40.91 15.37,10.0,6.0
B112480A,-22.54 179.12,617.0,5.3
B112480B,-37.99 177.86,33.0,5.2
B112480C,-22.74 -113.48,10.0,5.4
B112480D,-18.77 -173.41,33.0,5.3
B112580A,-37.99 178.27,33.0,5.4
B112580B,-18.81 -173.42,33.0,5.2
B112580C,40.65 15.40,10.0,4.9
B112580D,-2.38 140.12,33.0,5.1
B112680A,8.05 -72.44,40.0,5.0
B112680B,40.39 141.31,95.0,5.8
B112780A,40.37 141.28,94.0,5.4
B112880A,27.59 56.50,33.0,5.5
B112980A,-17.97 65.36,10.0,5.1
B112980B,-35.35 179.96,33.0,5.7
B113080A,-19.43 -175.85,202.0,6.0
B120180A,-22.16 -174.89,33.0,5.4
B120280A,-27.13 -176.47,27.0,5.5
B120380A,37.08 50.38,46.0,5.1
B120480A,52.26 160.12,33.0,5.5
B120480B,-17.79 -179.96,642.0,5.1
B120580A,35.95 1.37,10.0,5.0
B120680A,39.86 78.44,33.0,5.1
B120780A,1.23 10.0,0.0,0.0
B120880A,-14.84 166.84,33.0,5.6
B120980A,-65.72 -175.71,10.0,5.6
B121180A,26.53 140.53,471.0,5.3
C121180B,-21.27 -68.15,80.0,6.1
B121180C,32.42 131.75,51.0,5.6
B121280A,-58.94 149.11,10.0,4.9
B121280B,6.68 123.89,44.0,5.4
B121480A,52.99 171.06,24.0,5.6
B121480B,-6.10 149.79,56.0,5.8
C121580B,-17.59 -172.30,33.0,6.1
B121580A,45.99 90.38,33.0,5.5
B121680A,28.49 139.66,387.0,5.3
C121780B,-21.42 169.88,86.0,6.0
B121780C,7.97 126.19,40.0,5.3
C121780A,49.48 -129.50,10.0,5.9
B121880A,36.01 44.67,33.0,5.4
B121980A,34.59 50.65,33.0,5.6
B121980B,-21.34 -174.36,33.0,5.9
B121980C,30.58 140.64,82.0,6.2
B122080A,-0.99 138.56,33.0,5.5
B122080B,-24.37 -63.42,571.0,5.2
B122180A,-9.05 158.42,28.0,5.5
B122280A,34.50 50.59,41.0,5.5
B122280B,-37.45 176.37,319.0,4.9
B122280C,48.17 146.21,483.0,5.4
B122380D,-16.29 178.17,33.0,5.9
B122380E,-55.49 147.42,10.0,5.1
B122480A,42.37 -125.73,15.0,5.2
B122480B,-5.64 145.50,33.0,5.6
B122480C,-8.96 112.04,63.0,5.6
B122580A,-16.58 -178.91,475.0,5.0
B122580B,-31.48 -67.14,122.0,5.1
B122580C,-21.42 -174.07,33.0,5.1
B122580D,66.43 -17.73,10.0,5.1
B122680A,-22.21 -179.59,592.0,5.5
B122680B,-21.13 -174.35,33.0,5.5
B123080A,0.15 97.31,33.0,5.1
B123080B,-17.58 -172.21,33.0,5.4
C123180A,46.06 151.45,33.0,6.1
B010281C,32.73 48.46,33.0,5.1
B010281A,2.14 -79.17,33.0,5.7
C010281B,29.24 128.14,242.0,6.1
B010381A,2.16 -79.23,33.0,5.7
B010381B,-5.31 150.69,160.0,5.4
B010381C,-9.84 160.43,32.0,5.6
B010381D,-34.54 178.95,191.0,5.1
B010681A,32.88 138.34,288.0,5.4
B010781B,2.00 -79.29,25.0,5.6
B010781C,-23.75 -70.62,37.0,5.5
B010781D,-49.91 -114.14,10.0,5.1
B010781A,19.17 121.15,39.0,5.7
B010981A,-14.97 -174.02,33.0,5.6
B010981B,-55.42 -127.62,10.0,5.3
B011081A,36.36 71.42,137.0,5.5
B011181A,28.12 142.41,33.0,5.4
B011181B,2.06 98.07,69.0,5.7
B011481A,-21.16 -174.23,41.0,5.1
B011581A,36.36 1.64,10.0,5.0
B011681A,40.95 15.37,15.0,5.0
B011681B,-5.43 102.91,39.0,5.5
B011881A,-61.09 -55.43,22.0,6.0
B011881B,38.49 142.97,33.0,5.6
B011881C,38.51 142.98,33.0,5.5
C011881D,38.58 142.82,33.0,5.9
C011881E,38.64 142.75,33.0,6.1
B011981A,38.60 142.88,33.0,5.7
B011981B,-8.50 124.78,33.0,5.6
C011981C,-4.58 139.23,33.0,6.0
C011981D,-3.47 146.13,33.0,5.4
B012081A,-15.99 -172.52,35.0,5.3
B012181A,-59.32 -27.01,33.0,5.5
B012281A,38.22 142.67,20.0,6.1
C012381A,42.52 142.12,116.0,6.3
B012381B,38.15 142.78,33.0,5.8
C012381C,30.93 101.10,33.0,5.7
C012381D,-29.68 60.84,10.0,6.1
B012481A,-5.42 102.93,40.0,5.6
B012781A,11.38 -86.25,74.0,5.1
B012781B,-6.65 130.24,116.0,5.5
B012781C,-23.03 -68.03,125.0,5.4
B012881A,-7.62 127.56,186.0,5.4
B012881B,-54.59 158.02,10.0,5.5
B012981A,24.51 121.94,33.0,5.6
B012981B,13.14 145.38,51.0,5.3
B013081A,-56.12 -27.20,115.0,5.6
C013081B,51.74 176.27,33.0,6.3
B013081C,51.57 176.08,19.0,5.6
B013181A,-11.90 166.42,68.0,5.8
B013181B,14.35 119.15,33.0,5.1
B013181C,-3.22 134.65,33.0,5.3
B013181D,-30.55 -179.52,322.0,5.1
B020181B,21.35 145.92,82.0,5.2
B020181C,-11.14 117.31,33.0,5.6
B020181D,5.50 126.23,70.0,5.4
B020181E,51.34 176.78,23.0,5.6
B020181F,36.44 1.66,10.0,5.5
B020181A,53.03 162.41,33.0,5.9
B020481A,51.34 176.62,33.0,5.4
B020581A,50.17 -176.27,33.0,5.7
B020681A,-21.09 -178.93,618.0,5.6
B020681B,48.30 146.35,479.0,5.3
B020781A,22.14 127.13,33.0,5.3
B020881A,-23.60 179.95,505.0,5.3
B020981A,54.97 165.99,33.0,5.5
B020981C,54.95 165.91,33.0,5.4
B020981B,36.22 87.05,33.0,5.1
B021081A,23.89 123.39,41.0,5.2
B021281A,38.46 -26.75,10.0,5.4
B021381A,9.56 126.59,45.0,5.6
B021381B,-15.59 -74.53,65.0,5.6
B021481B,16.06 -96.30,39.0,5.0
B021481C,46.35 -122.24,7.0,5.1
B021481A,3.33 128.13,155.0,5.6
B021481D,35.90 1.28,10.0,5.0
B021581A,18.52 -68.97,112.0,5.1
B021581B,-16.10 -174.86,33.0,5.2
B021681A,-11.43 -12.98,10.0,5.6
B021681B,-40.59 -16.33,10.0,5.2
C021781A,-21.74 169.38,30.0,5.6
B021881A,29.33 130.22,34.0,5.4
B021981A,-21.54 169.46,33.0,5.7
B021981B,44.64 149.34,33.0,5.9
B022081A,-33.28 -178.91,33.0,5.6
B022081B,22.92 121.45,26.0,5.4
B022181A,-61.67 154.95,10.0,5.2
B022281A,-22.20 174.83,33.0,5.9
B022381A,41.79 45.98,33.0,5.1
B022381B,39.08 143.34,33.0,5.1
B022381C,-13.82 166.55,66.0,5.6
B022481A,-21.38 169.16,33.0,5.4
B022481B,28.31 129.41,43.0,5.6
B022481E,-20.86 -178.62,600.0,5.3
B022481C,-6.06 148.75,71.0,5.9
C022481D,38.22 22.93,33.0,5.9
C022581A,38.12 23.14,33.0,5.6
B022581B,11.28 140.29,27.0,5.4
B022681B,49.81 156.25,33.0,5.6
B022681A,-13.93 166.46,82.0,5.7
B022881A,-6.41 -81.42,33.0,5.3
B030181A,-3.91 -103.97,10.0,5.1
B030281A,12.34 -60.31,77.0,5.1
B030281B,22.89 121.45,24.0,5.5
B030281C,-22.64 -65.99,246.0,5.1
B030381A,39.29 72.77,56.0,5.2
B030481B,-25.74 -176.68,41.0,5.5
C030481A,38.21 23.29,29.0,6.0
B030581B,38.21 23.13,25.0,5.1
B030581A,-37.31 177.30,33.0,5.7
B030581C,32.10 137.90,361.0,5.1
B030681A,-6.25 154.82,67.0,5.7
C030681B,3.89 -85.92,33.0,6.1
B030781B,38.19 23.32,33.0,5.5
B030781A,-30.57 -178.21,33.0,5.7
B030881A,-0.16 -24.82,10.0,5.3
B030981B,-23.57 -66.35,185.0,5.3
B030981A,18.83 -103.91,56.0,5.7
B031081A,39.48 20.70,31.0,5.6
B031181A,-23.38 -175.29,33.0,5.3
B031281A,-7.18 146.12,175.0,5.5
B031381B,11.64 125.63,56.0,5.4
B031381A,13.90 120.71,144.0,5.6
B031381C,-8.76 110.43,51.0,5.6
B031481A,-15.04 -174.61,33.0,5.1
B031681A,-35.53 -71.79,55.0,5.2
B031681B,1.99 129.49,34.0,5.4
B031981A,-16.20 -172.95,33.0,5.2
B031981B,-21.32 168.84,26.0,4.9
B032181A,-47.99 99.61,10.0,5.4
B032181B,-5.45 146.72,227.0,6.0
B032381B,13.40 -44.95,10.0,5.3
B032381A,-33.66 -71.89,46.0,5.8
B032381C,-22.81 172.71,33.0,5.5
B032481B,31.77 141.67,33.0,5.2
B032481A,52.67 -168.04,33.0,5.5
B032581A,-48.14 -9.92,10.0,5.1
B032681A,-8.19 147.66,117.0,5.4
B032681D,-49.26 164.79,10.0,5.5
B032681E,-21.59 -174.26,43.0,5.7
C032681B,-19.37 -68.96,138.0,5.8
C032681C,3.41 128.00,128.0,6.1
B032781A,-58.13 -24.04,51.0,5.4
B032781B,-59.74 -31.40,33.0,5.1
B032881A,-5.76 151.01,74.0,5.5
B033081B,-7.07 117.20,610.0,5.2
B033081A,-2.28 138.85,33.0,5.6
B033181A,-35.51 -179.66,44.0,5.5
B033181B,-21.05 -178.82,612.0,5.2
B040181B,29.85 51.50,33.0,5.4
B040181A,-27.31 -63.32,554.0,5.9
B040581A,-6.13 154.51,413.0,5.8
B040581B,14.43 -92.78,39.0,5.1
B040581C,-25.04 179.80,498.0,5.3
B040581D,-55.91 -27.38,89.0,5.6
B040681A,-35.37 -71.05,88.0,5.3
B040881A,45.67 152.32,33.0,5.9
B040981A,-59.78 150.24,10.0,6.1
B041081A,-4.04 147.48,25.0,5.5
B041081B,-23.41 -175.36,35.0,5.5
B041081C,14.95 123.45,34.0,5.3
B041181A,14.28 119.19,33.0,5.7
B041281A,8.07 85.46,33.0,5.0
B041381A,37.23 142.18,28.0,5.7
B041381B,-1.08 136.52,21.0,5.4
B041581A,35.74 130.06,33.0,5.0
B041681B,27.73 56.35,27.0,5.3
B041681A,-55.99 -27.44,86.0,5.8
B041681C,-20.16 -70.70,33.0,5.1
B041881A,-13.14 -74.38,38.0,5.3
B041881B,25.75 125.80,92.0,5.6
B041881C,-48.88 121.50,10.0,5.1
B041981A,-54.03 -135.52,10.0,4.8
B042081A,14.31 -91.54,63.0,5.1
B042281A,7.39 -36.31,10.0,5.1
B042381A,-6.36 154.90,72.0,5.3
B042481A,-12.10 166.52,45.0,5.7
C042481B,-13.43 166.42,33.0,6.1
B042581A,-13.53 166.67,33.0,5.5
B042581B,-22.25 179.41,588.0,5.7
B042581C,24.94 95.38,148.0,5.7
B042681A,33.13 -115.65,6.0,5.5
B042681B,36.56 30.71,70.0,5.4
B042781B,-12.48 166.31,49.0,5.3
B042781A,-57.59 148.08,10.0,5.7
B042781C,6.97 -76.47,33.0,5.0
B042881B,36.42 70.90,197.0,5.2
C042881A,-23.72 179.98,540.0,6.0
B043081A,43.23 150.22,49.0,6.1
B050181A,22.96 94.59,101.0,5.0
B050281B,13.35 120.56,60.0,5.4
C050281A,36.35 71.08,229.0,6.3
B050381A,-30.05 -179.80,429.0,5.0
B050681A,-1.89 -80.88,33.0,6.0
B050781A,-3.28 153.61,457.0,5.3
B050881B,-16.47 -172.98,33.0,5.1
B050881A,42.66 139.13,200.0,6.0
B050981B,-20.42 169.28,58.0,5.3
B050981A,-5.16 154.70,73.0,5.9
B051381A,5.83 127.01,145.0,6.0
B051581A,-56.07 -26.96,100.0,5.5
B051681A,49.08 156.21,33.0,5.2
B051681B,7.30 -77.33,27.0,5.0
B051681C,-41.38 -85.85,10.0,5.0
B051781A,49.10 156.26,48.0,5.4
B051781B,-37.37 -16.87,10.0,5.2
B051781C,-27.22 -71.83,33.0,5.4
B051881A,51.30 -175.03,37.0,5.0
B051881B,-10.32 -78.40,58.0,5.2
B051881C,-31.03 -179.20,33.0,5.4
B051981A,5.61 126.59,107.0,5.3
B051981B,-17.10 -177.16,33.0,5.2
B052081A,42.02 144.46,43.0,5.4
B052081B,-30.12 -177.31,19.0,5.3
B052281A,-6.56 132.25,73.0,5.8
B052281B,52.00 105.76,29.0,5.1
B052281C,37.03 141.61,35.0,5.2
B052381A,28.62 131.18,35.0,5.3
B052481A,-22.16 -114.20,10.0,5.2
Z052581A,-48.79 164.36,33.0,6.1
B052581B,15.20 146.27,38.0,5.3
B052681A,6.16 127.44,48.0,5.7
B052781B,-25.36 179.85,460.0,5.3
B052781C,-48.56 164.05,33.0,4.7
B052781A,54.01 108.85,22.0,5.1
B052881A,-14.69 167.28,129.0,5.9
B052881C,-17.08 -173.98,137.0,5.4
B052881B,-5.68 151.41,71.0,6.0
B053081A,-49.15 164.74,33.0,5.7
B053181B,30.69 137.60,470.0,5.1
B053181A,44.56 137.27,295.0,5.4
B060181C,-41.87 -16.49,10.0,5.0
B060181A,-16.13 -173.56,33.0,5.1
B060181B,18.73 -107.03,33.0,5.2
B060181D,-20.49 -65.19,330.0,5.0
B060181E,-3.90 128.36,135.0,5.4
B060381A,-35.56 -17.04,10.0,5.8
B060381B,-5.46 -175.28,33.0,5.4
B060481A,-34.20 -78.83,33.0,5.1
B060481B,-31.92 -178.63,33.0,5.4
B060581A,52.28 -165.20,33.0,5.5
B060581B,44.70 148.90,33.0,5.9
B060581C,-3.90 -80.71,37.0,5.3
B060681A,-21.98 -176.10,127.0,5.4
B060781A,16.59 145.47,311.0,5.7
B060981A,34.55 91.49,33.0,5.2
B061081A,-35.80 -102.17,10.0,4.8
C061181A,29.91 57.71,33.0,6.1
B061181B,16.72 -86.11,20.0,5.2
B061381A,-60.17 154.71,10.0,5.8
B061381B,36.18 67.83,24.0,5.5
B061381C,53.63 -163.53,23.0,5.0
B061481A,-16.61 -172.77,47.0,5.1
B061581A,-48.57 164.71,33.0,5.3
B061681B,-21.49 -68.34,76.0,5.4
B061681C,-20.06 -177.73,402.0,5.0
B061681A,-56.40 -24.81,53.0,5.6
B061681D,-20.31 -175.26,178.0,5.4
B062081A,-20.06 169.04,33.0,5.5
B062081B,-21.38 169.45,33.0,5.6
B062181B,-20.79 -176.30,233.0,5.3
B062181A,-20.26 -70.45,36.0,5.2
B062281A,2.44 124.56,313.0,5.2
B062281B,-60.14 -29.39,33.0,5.0
B062281C,-13.17 -74.52,24.0,5.1
B062481A,37.87 20.12,22.0,4.9
B062581A,-41.70 79.93,10.0,5.2
B062681A,-30.27 -178.99,184.0,5.7
B062781A,-3.05 -80.33,49.0,5.1
B062881A,21.26 121.83,122.0,5.3
B062881B,-55.64 146.93,10.0,5.0
B062881C,37.89 20.07,33.0,5.2
B063081A,22.49 95.13,22.0,5.0
B070481A,-35.14 179.53,33.0,5.4
B070481B,10.18 124.94,38.0,5.1
B070481C,-30.33 -178.90,172.0,5.3
B070481D,-7.30 155.96,45.0,5.2
B070681B,-15.29 -173.46,33.0,5.6
C070681A,-22.26 171.73,33.0,6.9
B070781B,2.80 -79.81,16.0,5.1
C070781A,-0.13 -18.83,10.0,5.7
B070881A,36.38 70.72,216.0,5.3
B070881B,-1.98 124.70,36.0,5.5
B071081A,22.76 144.01,45.0,5.3
B071081B,-37.22 -95.37,10.0,5.2
B071181A,41.43 142.12,59.0,5.3
B071281A,67.71 -161.20,33.0,5.2
B071281B,52.45 -169.12,39.0,5.2
B071381B,-3.45 134.80,33.0,5.6
B071381C,-7.38 156.02,33.0,5.3
B071381A,50.21 -173.16,6.0,5.5
B071481A,-36.96 78.61,10.0,5.4
C071581A,-17.30 167.59,30.0,5.6
B071581B,-17.60 167.60,31.0,5.3
B071681A,-1.12 67.55,10.0,5.1
B071881A,-22.68 -66.24,246.0,5.0
B071981A,45.43 150.08,33.0,5.5
B071981B,-17.14 167.52,46.0,5.4
B072181A,39.47 53.26,42.0,5.1
B072181B,16.51 -98.41,53.0,5.2
B072181C,-15.44 167.47,143.0,5.8
B072281A,14.64 120.25,69.0,5.3
B072381A,37.14 45.23,33.0,5.6
B072381B,-21.68 169.52,33.0,5.6
B072581A,-5.68 147.93,150.0,5.4
B072681A,18.22 -101.89,29.0,5.4
B072681B,-23.86 179.99,527.0,5.2
B072681C,-35.82 -15.98,10.0,4.9
B072881B,-41.57 -73.20,43.0,5.5
B072881C,-30.85 -178.22,59.0,5.4
B072881D,41.68 139.97,177.0,5.4
Z072881A,30.01 57.79,33.0,5.7
B072981A,-21.68 169.63,37.0,5.8
B072981B,-17.57 -173.08,42.0,5.4
B073081A,-5.87 154.25,54.0,5.3
B073081B,-2.71 28.46,33.0,5.0
B073181A,51.23 157.71,50.0,5.2
B080181B,60.14 -153.19,114.0,5.2
B080181A,-18.53 -173.71,33.0,5.7
B080481A,38.06 49.33,25.0,5.5
B080581A,-54.53 -119.04,10.0,4.9
B080781A,-5.25 151.75,69.0,5.8
B081081A,-6.94 -12.57,10.0,4.8
B081281A,29.47 130.47,46.0,5.5
B081381A,-16.05 -174.41,188.0,5.4
B081381B,44.86 17.33,9.0,5.5
B081481A,25.15 97.98,33.0,5.1
B081481B,2.44 127.04,38.0,5.5
B081581A,56.38 -156.78,53.0,5.1
B081681A,50.63 96.86,17.0,5.1
B081681B,25.49 96.62,37.0,5.1
B081681C,46.57 152.66,33.0,5.6
B081781A,-2.76 139.10,31.0,5.6
B081781B,14.52 -93.77,37.0,5.5
B081781C,-25.45 -179.06,383.0,5.5
B081981B,-33.47 179.66,185.0,5.1
B081981C,-22.98 170.50,25.0,5.6
B081981D,-3.90 -80.97,32.0,5.2
B081981A,-9.27 67.18,10.0,5.1
B082081A,-11.49 166.16,71.0,5.0
B082181A,-26.51 -114.76,10.0,5.1
B082281A,-3.98 140.41,59.0,5.5
B082281B,-35.83 -103.30,10.0,5.2
B082381A,-22.08 170.89,125.0,5.8
B082381B,48.69 157.43,33.0,6.0
B082381C,-63.58 -167.21,10.0,5.0
B082581A,-22.76 -176.21,108.0,5.8
B082581B,6.94 -76.60,33.0,5.2
B082581C,7.02 -76.59,33.0,5.1
B082681B,14.12 146.69,40.0,5.2
B082681A,-5.34 151.49,67.0,5.7
B082781A,6.89 -76.73,33.0,4.8
B083081A,-17.97 -178.50,609.0,5.4
B090181A,-14.97 -173.49,15.0,5.9
C090181B,-14.99 -173.17,15.0,7.0
B090181C,-15.31 -173.30,33.0,5.7
B090181D,-15.23 -173.18,33.0,5.6
B090281A,-15.47 -172.98,33.0,5.3
B090281B,35.71 140.90,58.0,5.5
B090281C,-14.91 -173.68,33.0,5.3
B090381A,6.52 126.27,93.0,5.8
B090381B,43.59 147.08,46.0,6.6
B090381C,35.21 140.96,44.0,5.6
B090481C,-15.70 -13.10,10.0,5.1
C090481A,11.05 123.21,33.0,5.9
B090481B,33.66 -119.11,5.0,5.4
B090681A,-21.45 169.58,28.0,6.0
B090681B,-36.17 -100.70,10.0,5.4
B090781A,-25.65 -178.01,231.0,5.2
