Event_name,Location,Depth,Magnitude
B020377A,45.37 150.44,33.0,5.5
B020377B,42.97 130.93,506.0,5.0
B020477A,-24.69 -63.36,549.0,6.0
C020577A,-66.45 -82.58,33.0,6.2
B020677A,-21.82 -175.26,33.0,5.6
B021077A,-21.82 169.94,41.0,5.2
B021077B,-60.93 -23.09,33.0,6.3
B021277A,36.99 71.28,98.0,5.4
B021377A,-0.12 125.06,33.0,5.8
B021677A,0.50 125.98,33.0,6.1
B021877A,41.41 142.04,5.0,5.5
B021877B,33.07 140.82,42.0,6.0
B021977B,31.79 78.42,40.0,5.4
B021977C,-41.37 80.64,33.0,5.8
C021977A,53.57 170.03,33.0,6.2
B022277A,-45.61 -75.29,33.0,5.2
B022477A,-11.69 -13.62,33.0,5.1
B022477B,42.39 142.51,75.0,5.3
B022577A,-6.28 147.56,49.0,5.4
B022577B,-6.29 147.53,52.0,5.9
B022777A,18.65 145.29,579.0,5.0
B022877A,4.04 -82.50,33.0,5.1
B022877B,9.22 126.12,64.0,5.7
B022877C,14.88 54.95,33.0,5.1
B030277A,-16.37 177.98,33.0,5.5
B030277B,6.77 123.74,52.0,6.1
C030477A,45.77 26.76,94.0,6.4
B030677A,-8.30 123.60,39.0,5.2
B030877A,-17.84 -178.71,571.0,5.3
B030877B,-8.32 156.23,33.0,5.3
B030877C,-11.96 -74.20,41.0,5.6
B030877D,0.45 100.02,22.0,5.5
B030977A,41.61 130.88,528.0,5.9
B030977B,2.59 127.17,59.0,5.5
B031277A,23.74 -45.17,33.0,5.4
B031377A,-8.04 -74.41,161.0,5.1
B031477A,-20.73 -178.51,577.0,5.4
B031477B,-31.01 179.94,368.0,5.0
B031577A,-4.95 131.01,41.0,5.8
B031577B,-6.73 154.96,31.0,5.5
B031777A,-12.88 169.38,649.0,4.9
C031877A,16.77 122.33,37.0,6.2
B031977A,44.20 148.20,70.0,6.0
B031977B,16.81 122.35,39.0,5.6
B032177B,13.16 145.31,56.0,5.4
B032177C,13.20 145.28,33.0,5.5
C032177A,27.61 56.39,29.0,6.2
B032177D,27.60 56.52,36.0,5.8
B032277A,-33.60 179.10,336.0,5.6
B032277B,27.58 56.47,39.0,5.7
